,date,PX_BID,PX_MID,PX_ASK,PX_DIRTY_BID,PX_DIRTY_MID,PX_DIRTY_ASK,PX_LAST,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK
828,2019-10-30,99.824,99.882,99.94,101.062,101.12,101.178,99.882,2.866,2.828,2.789
829,2019-10-31,99.902,99.958,100.014,101.162,101.218,101.274,99.958,2.815,2.778,2.74
830,2019-11-01,99.983,100.04,100.097,101.251,101.308,101.365,100.04,2.761,2.723,2.685
831,2019-11-04,99.924,99.981,100.037,101.2,101.257,101.313,99.981,2.8,2.762,2.725
832,2019-11-05,99.884,99.941,99.997,101.167,101.224,101.28,99.941,2.827,2.789,2.752
833,2019-11-06,99.895,99.95,100.004,101.186,101.241,101.295,99.95,2.82,2.783,2.747
834,2019-11-07,99.847,99.902,99.956,101.169,101.224,101.278,99.902,2.8529999999999998,2.816,2.7800000000000002
835,2019-11-08,99.785,99.84,99.894,101.114,101.169,101.223,99.84,2.896,2.858,2.822
836,2019-11-12,99.798,99.851,99.904,101.135,101.188,101.241,99.851,2.887,2.851,2.815
837,2019-11-13,99.879,99.932,99.985,101.223,101.276,101.329,99.932,2.832,2.7960000000000003,2.76
838,2019-11-14,99.899,99.952,100.005,101.266,101.319,101.372,99.952,2.819,2.783,2.747
839,2019-11-15,99.917,99.97,100.023,99.917,99.97,100.023,99.97,2.807,2.771,2.734
840,2019-11-18,99.921,99.978,100.034,99.929,99.986,100.042,99.978,2.8040000000000003,2.765,2.727
841,2019-11-19,99.953,100.01,100.066,99.968,100.025,100.081,100.01,2.782,2.743,2.705
842,2019-11-20,99.992,100.049,100.106,100.015,100.072,100.129,100.049,2.755,2.716,2.677
843,2019-11-21,99.975,100.03,100.085,100.021,100.076,100.131,100.03,2.767,2.729,2.691
844,2019-11-22,99.971,100.027,100.082,100.024,100.08,100.135,100.027,2.77,2.731,2.693
845,2019-11-25,99.91,99.962,100.014,99.971,100.023,100.075,99.962,2.8120000000000003,2.776,2.74
846,2019-11-26,99.958,100.011,100.064,100.034,100.087,100.14,100.011,2.779,2.742,2.705
847,2019-11-27,99.962,100.016,100.07,100.061,100.115,100.169,100.016,2.776,2.738,2.7
848,2019-11-29,99.919,99.973,100.026,100.026,100.08,100.133,99.973,2.806,2.769,2.731
849,2019-12-02,99.905,99.958,100.011,100.02,100.073,100.126,99.958,2.816,2.779,2.742
850,2019-12-03,99.992,100.045,100.098,100.114,100.167,100.22,100.045,2.755,2.718,2.68
851,2019-12-04,100.022,100.074,100.126,100.152,100.204,100.256,100.074,2.734,2.697,2.66
852,2019-12-05,99.982,100.034,100.085,100.135,100.187,100.238,100.034,2.762,2.725,2.689
853,2019-12-06,99.981,100.033,100.085,100.141,100.193,100.245,100.033,2.763,2.726,2.689
854,2019-12-09,99.941,99.994,100.047,100.109,100.162,100.215,99.994,2.791,2.754,2.716
855,2019-12-10,99.975,100.028,100.081,100.151,100.204,100.257,100.028,2.767,2.729,2.691
856,2019-12-11,99.934,99.985,100.035,100.117,100.168,100.218,99.985,2.797,2.76,2.724
857,2019-12-12,99.985,100.036,100.086,100.191,100.242,100.292,100.036,2.76,2.723,2.6870000000000003
858,2019-12-13,99.953,100.005,100.056,100.167,100.219,100.27,100.005,2.783,2.746,2.709
859,2019-12-16,99.97,100.02,100.07,100.192,100.242,100.292,100.02,2.771,2.735,2.699
860,2019-12-17,99.979,100.03,100.081,100.208,100.259,100.31,100.03,2.7640000000000002,2.727,2.69
861,2019-12-18,99.979,100.03,100.082,100.216,100.267,100.319,100.03,2.7640000000000002,2.727,2.69
862,2019-12-19,99.956,100.007,100.057,100.216,100.267,100.317,100.007,2.781,2.7439999999999998,2.707
863,2019-12-20,99.968,100.019,100.07,100.235,100.286,100.337,100.019,2.7720000000000002,2.735,2.698
864,2019-12-23,99.969,100.02,100.07,100.252,100.303,100.353,100.02,2.7720000000000002,2.734,2.698
865,2019-12-24,99.942,99.995,100.048,100.232,100.285,100.338,99.995,2.792,2.753,2.714
866,2019-12-26,99.96,100.014,100.068,100.273,100.327,100.381,100.014,2.778,2.738,2.698
867,2019-12-27,99.988,100.041,100.094,100.301,100.354,100.407,100.041,2.758,2.718,2.6790000000000003
868,2019-12-30,100.019,100.071,100.123,100.347,100.399,100.451,100.071,2.735,2.6959999999999997,2.657
869,2019-12-31,100.066,100.116,100.166,100.402,100.452,100.502,100.116,2.7,2.662,2.625
870,2020-01-02,100.058,100.109,100.16,100.417,100.468,100.519,100.109,2.705,2.667,2.629
871,2020-01-03,100.118,100.169,100.219,100.485,100.536,100.586,100.169,2.66,2.622,2.585
872,2020-01-06,100.118,100.167,100.216,100.492,100.541,100.59,100.167,2.66,2.623,2.586
873,2020-01-07,100.133,100.184,100.235,100.515,100.566,100.617,100.184,2.649,2.61,2.572
874,2020-01-08,100.137,100.188,100.239,100.527,100.578,100.629,100.188,2.645,2.607,2.568
875,2020-01-09,100.073,100.123,100.173,100.485,100.536,100.586,100.123,2.693,2.6550000000000002,2.617
876,2020-01-10,100.08,100.13,100.18,100.5,100.55,100.6,100.13,2.6879999999999997,2.65,2.612
877,2020-01-13,100.099,100.148,100.196,100.527,100.576,100.624,100.148,2.673,2.636,2.599
878,2020-01-14,100.097,100.143,100.189,100.532,100.578,100.624,100.143,2.674,2.6390000000000002,2.604
879,2020-01-15,100.129,100.175,100.221,100.572,100.618,100.664,100.175,2.65,2.615,2.58
880,2020-01-16,100.135,100.181,100.226,100.609,100.655,100.7,100.181,2.644,2.609,2.574
881,2020-01-17,100.148,100.194,100.239,100.629,100.675,100.72,100.194,2.634,2.599,2.564
882,2020-01-21,100.161,100.207,100.252,100.65,100.696,100.741,100.207,2.624,2.588,2.553
883,2020-01-22,100.178,100.224,100.269,100.675,100.721,100.766,100.224,2.61,2.575,2.54
884,2020-01-23,100.197,100.242,100.287,100.716,100.761,100.806,100.242,2.5949999999999998,2.56,2.524
885,2020-01-24,100.19,100.235,100.279,100.717,100.762,100.806,100.235,2.6,2.565,2.5300000000000002
886,2020-01-27,100.282,100.331,100.379,100.817,100.866,100.914,100.331,2.527,2.489,2.452
887,2020-01-28,100.283,100.333,100.383,100.825,100.875,100.925,100.333,2.526,2.487,2.448
888,2020-01-29,100.27,100.317,100.364,100.812,100.859,100.906,100.317,2.536,2.5,2.463
889,2020-01-30,100.324,100.369,100.414,100.889,100.934,100.979,100.369,2.492,2.457,2.422
890,2020-01-31,100.342,100.387,100.432,100.915,100.96,101.005,100.387,2.4779999999999998,2.442,2.407
891,2020-02-03,100.402,100.447,100.491,100.983,101.028,101.072,100.447,2.43,2.394,2.359
892,2020-02-04,100.356,100.414,100.471,100.944,101.002,101.059,100.414,2.465,2.42,2.374
893,2020-02-05,100.303,100.36,100.416,100.899,100.956,101.012,100.36,2.507,2.462,2.417
894,2020-02-06,100.297,100.354,100.411,100.916,100.973,101.03,100.354,2.51,2.465,2.419
895,2020-02-07,100.314,100.372,100.43,100.94,100.998,101.056,100.372,2.496,2.45,2.403
896,2020-02-10,100.357,100.414,100.471,100.991,101.048,101.105,100.414,2.461,2.415,2.37
897,2020-02-11,100.333,100.39,100.446,100.975,101.032,101.088,100.39,2.48,2.434,2.3890000000000002
898,2020-02-12,100.308,100.364,100.42,100.957,101.013,101.069,100.364,2.499,2.454,2.409
899,2020-02-13,100.336,100.392,100.447,101.016,101.072,101.127,100.392,2.474,2.429,2.384
900,2020-02-14,100.32,100.375,100.429,101.007,101.063,101.117,100.375,2.487,2.442,2.398
901,2020-02-18,100.353,100.408,100.462,101.048,101.103,101.157,100.408,2.459,2.414,2.37
902,2020-02-19,100.335,100.389,100.443,101.038,101.092,101.146,100.389,2.473,2.429,2.385
903,2020-02-20,100.349,100.402,100.454,101.075,101.128,101.18,100.402,2.46,2.416,2.373
904,2020-02-21,100.383,100.438,100.492,101.116,101.171,101.225,100.438,2.431,2.386,2.341
905,2020-02-24,100.496,100.55,100.603,101.237,101.291,101.344,100.55,2.337,2.293,2.249
906,2020-02-25,100.525,100.576,100.627,101.274,101.325,101.376,100.576,2.312,2.27,2.228
907,2020-02-26,100.584,100.637,100.69,101.34,101.393,101.446,100.637,2.262,2.218,2.175
908,2020-02-27,100.674,100.727,100.78,101.461,101.514,101.567,100.727,2.183,2.1390000000000002,2.094
